id,name,EditableSynonymList_graph_id
,JV15-2,esl_20200604115458936710
,LDS1C,esl_20200604115458936710
,LDS3,esl_20200604115458936710
,MADH3,esl_20200604115458936710
,DYRK,esl_20200604115458936739
,DYRK1,esl_20200604115458936739
,HP86,esl_20200604115458936739
,MNB,esl_20200604115458936739
,MNBH,esl_20200604115458936739
,MRD7,esl_20200604115458936739
,CVID13,esl_20200604115458936767
,Hs.54452,esl_20200604115458936767
,IK1,esl_20200604115458936767
,IKAROS,esl_20200604115458936767
,LyF-1,esl_20200604115458936767
,LYF1,esl_20200604115458936767
,PPP1R92,esl_20200604115458936767
,PRO0758,esl_20200604115458936767
,ZNFN1A1,esl_20200604115458936767
,DIF,esl_20200604115458936800
,TNF-alpha,esl_20200604115458936800
,TNFA,esl_20200604115458936800
,TNFSF2,esl_20200604115458936800
,TNLG1F,esl_20200604115458936800
,DUP,esl_20200604115458936828
,FAP4,esl_20200604115458936828
,MRP1,esl_20200604115458936828
,Bcl-2,esl_20200604115458936853
,PPP1R50,esl_20200604115458936853
,HDR,esl_20200604115458936877
,HDRS,esl_20200604115458936877
,JTK8,esl_20200604115458936901
,p53Lyn,esl_20200604115458936901
,p56Lyn,esl_20200604115458936901
,CACNL1A3,esl_20200604115458936927
,Cav1.1,esl_20200604115458936927
,CCHL1A3,esl_20200604115458936927
,HOKPP,esl_20200604115458936927
,HOKPP1,esl_20200604115458936927
,hypoPP,esl_20200604115458936927
,MHS5,esl_20200604115458936927
,TTPP1,esl_20200604115458936927
,dJ283E3.1,esl_20200604115458936958
,ARC130,esl_20200604115458936981
,CRSP130,esl_20200604115458936981
,CRSP133,esl_20200604115458936981
,CRSP3,esl_20200604115458936981
,DRIP130,esl_20200604115458936981
,MRT18,esl_20200604115458936981
,SUR-2,esl_20200604115458936981
,SUR2,esl_20200604115458936981
,FAM22A,esl_20200604115458937012
,C17orf31,esl_20200604115458937036
,EST1A,esl_20200604115458937036
,hSMG5/7a,esl_20200604115458937036
,SMG-6,esl_20200604115458937036
,CAD11,esl_20200604115458937298
,CDHOB,esl_20200604115458937298
,ESWS,esl_20200604115458937298
,OB,esl_20200604115458937298
,OSF-4,esl_20200604115458937298
,ALPHA-PAL,esl_20200604115458937374
,APRIN,esl_20200604115458937400
,AS3,esl_20200604115458937400
,CG008,esl_20200604115458937400
,MSK1,esl_20200604115458937426
,MSPK1,esl_20200604115458937426
,RLPK,esl_20200604115458937426
,MPF,esl_20200604115458937453
,SMRP,esl_20200604115458937453
,LGS,esl_20200604115458937478
,CHN,esl_20200604115458937505
,CSMF,esl_20200604115458937505
,MINOR,esl_20200604115458937505
,NOR1,esl_20200604115458937505
,TEC,esl_20200604115458937505
,CCO,esl_20200604115458937557
,MHS,esl_20200604115458937557
,MHS1,esl_20200604115458937557
,PPP1R137,esl_20200604115458937557
,RYDR,esl_20200604115458937557
,RYR,esl_20200604115458937557
,RYR-1,esl_20200604115458937557
,SKRR,esl_20200604115458937557
,LAAT-1,esl_20200604115458937587
,LAAT1,esl_20200604115458937587
,PQLC2,esl_20200604115458937587
,cig42,esl_20200604115458937613
,G10P2,esl_20200604115458937613
,GARG-39,esl_20200604115458937613
,IFI-54,esl_20200604115458937613
,IFI-54K,esl_20200604115458937613
,IFI54,esl_20200604115458937613
,IFIT-2,esl_20200604115458937613
,ISG-54 K,esl_20200604115458937613
,ISG-54K,esl_20200604115458937613
,ISG54,esl_20200604115458937613
,P54,esl_20200604115458937613
,CCRK,esl_20200604115458937689
,CDCH,esl_20200604115458937689
,P42,esl_20200604115458937689
,PNQALRE,esl_20200604115458937689
,A-RAF,esl_20200604115458937717
,ARAF1,esl_20200604115458937717
,PKS2,esl_20200604115458937717
,RAFA1,esl_20200604115458937717
,humS6PKh1,esl_20200604115458937743
,RPK118,esl_20200604115458937743
,RSKL1,esl_20200604115458937743
,S6K-delta-1,esl_20200604115458937743
,S6PKh1,esl_20200604115458937743
,H3.4,esl_20200604115458937771
,H3/g,esl_20200604115458937771
,H3FT,esl_20200604115458937771
,H3t,esl_20200604115458937771
,HIST3H3,esl_20200604115458937771
,MCT2,esl_20200604115458937799
,CycC,esl_20200604115458937823
,hSRB11,esl_20200604115458937823
,SRB11,esl_20200604115458937823
,ACLS,esl_20200604115458937866
,GCPS,esl_20200604115458937866
,GLI3-190,esl_20200604115458937866
,GLI3FL,esl_20200604115458937866
,PAP-A,esl_20200604115458937866
,PAPA,esl_20200604115458937866
,PAPA1,esl_20200604115458937866
,PAPB,esl_20200604115458937866
,PHS,esl_20200604115458937866
,PPDIV,esl_20200604115458937866
,FRS1A,esl_20200604115458937902
,FRS2A,esl_20200604115458937902
,FRS2alpha,esl_20200604115458937902
,SNT,esl_20200604115458937902
,SNT-1,esl_20200604115458937902
,SNT1,esl_20200604115458937902
,FXR1P,esl_20200604115458937931
,GCP-1,esl_20200604115458937955
,GCP1,esl_20200604115458937955
,IL8,esl_20200604115458937955
,LECT,esl_20200604115458937955
,LUCT,esl_20200604115458937955
,LYNAP,esl_20200604115458937955
,MDNCF,esl_20200604115458937955
,MONAP,esl_20200604115458937955
,NAF,esl_20200604115458937955
,NAP-1,esl_20200604115458937955
