name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonyms_graph_id,transcript_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
YAP1,YAP1,es_20200422175122744753,es_20200422175122744782,esl_20200604115459033318,es_20200604115459033318,geneInfo_gene_10413,jax_gene_10413,uniprot_P46937,omnigene_10413
ZRSR2,ZRSR2,es_20200422175142801060,es_20200422175142801078,esl_20200604115459033345,es_20200604115459033345,geneInfo_gene_8233,jax_gene_8233,uniprot_Q15696,omnigene_8233
YES1,YES1,es_20200422175124989063,es_20200422175124989080,esl_20200604115459033371,es_20200604115459033371,geneInfo_gene_7525,jax_gene_7525,uniprot_P07947,omnigene_7525
ZBTB2,ZBTB2,es_20200422175127618066,es_20200422175127618083,esl_20200604115459033398,es_20200604115459033398,geneInfo_gene_57621,jax_gene_57621,uniprot_Q8N680,omnigene_57621
ZNF703,ZNF703,es_20200422175141228255,es_20200422175141228273,esl_20200604115459033425,es_20200604115459033425,geneInfo_gene_80139,jax_gene_80139,uniprot_Q9H7S9,omnigene_80139
ZBTB7A,ZBTB7A,es_20200422175132126513,es_20200422175132126539,esl_20200604115459033451,es_20200604115459033451,geneInfo_gene_51341,jax_gene_51341,uniprot_O95365,omnigene_51341
ZFHX3,ZFHX3,es_20200422175137225610,es_20200422175137225639,esl_20200604115459033478,es_20200604115459033478,geneInfo_gene_463,jax_gene_463,uniprot_Q15911,omnigene_463
ZNF217,ZNF217,es_20200507130645865000,es_20200422175139284104,esl_20200604115459033504,es_20200604115459033504,geneInfo_gene_7764,jax_gene_7764,uniprot_O75362,omnigene_7764
CTAG2,CTAG2,es_20200423071817792369,es_20200422181530260614,esl_20200604115459033531,es_20200604115459033531,geneInfo_gene_30848,jax_gene_30848,uniprot_O75638,omnigene_30848
CXCR2,CXCR2,es_20200423071821468185,es_20200422181538558693,esl_20200604115459033584,es_20200604115459033584,geneInfo_gene_3579,,uniprot_P25025,omnigene_3579
MAGEA3,MAGEA3,es_20200423071837974541,es_20200422181559825060,esl_20200604115459033613,es_20200604115459033613,geneInfo_gene_4102,jax_gene_4102,uniprot_P43357,omnigene_4102
CTAG1B,CTAG1B,es_20200423071816291626,es_20200422181526766182,esl_20200604115459033640,es_20200604115459033640,geneInfo_gene_1485,jax_gene_1485,uniprot_P78358,omnigene_1485
MAGEA4,MAGEA4,es_20200423071838961814,es_20200422181603230723,esl_20200604115459033667,es_20200604115459033667,geneInfo_gene_4103,jax_gene_4103,uniprot_P43358,omnigene_4103
MAGEA1,MAGEA1,es_20200423071835725490,es_20200422181557373970,esl_20200604115459033694,es_20200604115459033694,geneInfo_gene_4100,jax_gene_4100,uniprot_P43355,omnigene_4100
NECTIN2,NECTIN2,es_20200423071844363046,es_20200422181609478140,esl_20200604115459033721,es_20200604115459033721,geneInfo_gene_5819,,uniprot_Q92692,omnigene_5819
SSX2,SSX2,es_20200423071850479020,es_20200422181618429416,esl_20200604115459033747,es_20200604115459033747,geneInfo_gene_6757,jax_gene_6757,uniprot_Q16385,omnigene_6757
PVR,PVR,es_20200423071848487578,es_20200422181615641447,esl_20200604115459033773,es_20200604115459033773,geneInfo_gene_5817,,uniprot_P15151,omnigene_5817
TIGIT,TIGIT,es_20200423071853864985,es_20200422181622733289,esl_20200604115459033798,es_20200604115459033798,geneInfo_gene_201633,,uniprot_Q495A1,omnigene_201633
TLR7,TLR7,es_20200423071854774972,es_20200422181627172338,esl_20200604115459033838,es_20200604115459033838,geneInfo_gene_51284,jax_gene_51284,uniprot_Q9NYK1,omnigene_51284
TLR8,TLR8,es_20200423071856867428,es_20200422181636396851,esl_20200604115459033867,es_20200604115459033867,geneInfo_gene_51311,,uniprot_Q9NR97,omnigene_51311
TLR9,TLR9,es_20200423071858015096,es_20200422181641056731,esl_20200604115459033893,es_20200604115459033893,geneInfo_gene_54106,,uniprot_Q9NR96,omnigene_54106
TTC6,TTC6,es_20200430155214233284,es_20200430155214233303,esl_20200604115459033918,es_20200604115459033918,geneInfo_gene_319089,,,omnigene_319089
SYNE1,SYNE1,es_20200430115905760000,es_20200430155446696447,esl_20200604115459033943,es_20200604115459033943,geneInfo_gene_23345,,uniprot_Q8NF91,omnigene_23345
STT3A,STT3A,es_20200430123502128000,es_20200430163421664871,esl_20200604115459033968,es_20200604115459033968,geneInfo_gene_3703,,uniprot_P46977,omnigene_3703
