id,Author_graph_id,LiteratureReference_graph_id
,author_tanaka_t,ref_24357795
,author_takayama_t,ref_24357795
,author_matsumoto_s,ref_24357795
,author_wang_j,ref_23707940
,author_xu_r,ref_23707940
,author_tang_y,ref_23707940
,author_yan_z,ref_23707940
,author_chen_l,ref_23707940
,author_mao_gx,ref_24935588
,author_huang_h,ref_24935588
,author_liu_jh,ref_24935588
,author_xu_mm,ref_24935588
,author_li_jc,ref_24935588
,author_liu_yf,ref_24935588
,author_liu_j,ref_24935588
,author_zhi_yong_z,ref_22125836
,author_shan_hong_t,ref_22125836
,author_xiang_qiang_l,ref_22125836
,author_hai_feng_j,ref_22125836
,author_chai_n,ref_24886657
,author_nie_y,ref_24886657
,author_wang_r,ref_24886657
,author_liu_x,ref_24886657
,author_shi_y,ref_24886657
,author_fan_d,ref_24886657
,author_li_x,ref_24886657
,author_su_l,ref_24886657
,author_lv_l,ref_24886657
,author_han_y,ref_28514182
,author_zheng_x,ref_28514182
,author_li_c,ref_28514182
,author_niu_y,ref_28514182
,author_geng_q,ref_28514182
,author_lv_y,ref_28514182
,author_yuan_y,ref_28624440
,author_yan_j,ref_28624440
,author_liu_h,ref_28624440
,author_jiang_jy,ref_28624440
,author_li_c,ref_28624440
,author_liu_c,ref_28624440
,author_wang_hq,ref_28624440
,author_li_xy,ref_28624440
,author_zong_zh,ref_28624440
,author_lim_hs,ref_27160538
,author_lee_y,ref_27160538
,author_kannan_a,ref_26291527
,author_philley_jv,ref_26291527
,author_dasgupta_s,ref_26291527
,author_wang_b,ref_29845474
,author_bai_w,ref_29845474
,author_liu_j,ref_29845474
,author_jiang_w,ref_29845474
,author_wang_h,ref_29845474
,author_yang_y,ref_29845474
,author_zhao_k,ref_29845474
,author_yin_j,ref_29845474
,author_kuhlman_b,ref_27044868
,author_kleiger_g,ref_27044868
,author_hill_s,ref_27044868
,author_lewis_sm,ref_27044868
,author_harrison_js,ref_27044868
,author_benayed_r,ref_29920189
,author_arcila_m,ref_29920189
,author_pavlick_d,ref_29920189
,author_roshal_m,ref_29920189
,author_scaltriti_m,ref_29920189
,author_ebata_k,ref_29920189
,author_marcelus_c,ref_29920189
,author_yoshimi_a,ref_29920189
,author_chung_ss,ref_29920189
,author_diamond_el,ref_29920189
,author_taylor_j,ref_29920189
,author_park_jh,ref_29920189
,author_bitner_l,ref_29920189
,author_albacker_la,ref_29920189
,author_ali_s,ref_29920189
,author_ku_n,ref_29920189
,author_durham_bh,ref_29920189
,author_inoue_d,ref_29920189
,author_mullaney_k,ref_29920189
,author_chung_yr,ref_29920189
,author_cocco_e,ref_29920189
,author_hyman_dm,ref_29920189
,author_watts_jm,ref_29920189
