id,EditableStatement_graph_id,LiteratureReference_graph_id
,es_20200422163902623480,ref_22306302
,es_20200422163902623480,ref_24647444
,es_20200422163901655497,ref_29928382
,es_20200422163901655497,ref_31745703
,es_20200422163908057404,ref_24721208
,es_20200422163908057404,ref_24377928
,es_20200422163908057404,ref_29158492
,es_20200422163908057404,ref_26432191
,es_20200422163908057404,ref_28768723
,es_20200422163908057404,ref_30877085
,es_20200422163915718149,ref_21969370
,es_20200422163915718149,ref_25402820
,es_20200422163915718149,ref_26841762
,es_20200422163920771639,ref_29104507
,es_20200422163920771639,ref_22508544
,es_20200422163920771639,ref_30761180
,es_20200422163920771639,ref_30662521
,es_20200422163920771639,ref_31076567
,es_20200422163911690110,ref_25384085
,es_20200422163911690110,ref_11877430
,es_20200422163931835373,ref_24478024
,es_20200422163931835373,ref_25521164
,es_20200422163931835373,ref_26193331
,es_20200422163931835373,ref_17047154
,es_20200422163913550657,ref_31278738
,es_20200422163913550657,ref_21030553
,es_20200422163913550657,ref_26379151
,es_20200422163913550657,ref_19228121
,es_20200422163913037778,ref_24822169
,es_20200422163923860475,ref_23640210
,es_20200422163923860475,ref_27148356
,es_20200422163917004487,ref_22815231
,es_20200422163917004487,ref_26967243
,es_20200422163917004487,ref_26352013
,es_20200422163917004487,ref_20810260
,es_20200422163918780050,ref_29858377
,es_20200422163918780050,ref_30925164
,es_20200422163918780050,ref_27283171
,es_20200422163918780050,ref_21344236
,es_20200422163929999838,ref_29309308
,es_20200422163929999838,ref_23139211
,es_20200422163929999838,ref_30659096
,es_20200422163929999838,ref_30589983
,es_20200422163922950063,ref_25795597
,es_20200422163922950063,ref_20167603
,es_20200422163924836821,ref_30170620
,es_20200422163924836821,ref_30585274
,es_20200422163924836821,ref_29484738
,es_20200422163929552520,ref_25966119
,es_20200422163935525966,ref_26556430
,es_20200422163933468447,ref_28703335
,es_20200422163933468447,ref_21924928
,es_20200422163933468447,ref_20189993
,es_20200422163933468447,ref_25232488
,es_20200422163927525949,ref_25401474
,es_20200422163927525949,ref_21492125
,es_20200422163927525949,ref_25173936
,es_20200422163926123451,ref_31076445
,es_20200422163926123451,ref_22150303
,es_20200422163926123451,ref_24659638
,es_20200422164247718249,ref_11260227
,es_20200422163929075483,ref_27582489
,es_20200422163937785781,ref_23625751
,es_20200422163937785781,ref_22988093
,es_20200422164000681020,ref_26352549
