field,editDate,editorId,graph_id
synonyms_jax_gene_369,2020-06-04-11-54-58-937717,user_20200422163431232329,esl_20200604115458937717
synonyms_jax_gene_26750,2020-06-04-11-54-58-937743,user_20200422163431232329,esl_20200604115458937743
synonyms_jax_gene_8290,2020-06-04-11-54-58-937771,user_20200422163431232329,esl_20200604115458937771
synonyms_jax_gene_9194,2020-06-04-11-54-58-937799,user_20200422163431232329,esl_20200604115458937799
synonyms_jax_gene_892,2020-06-04-11-54-58-937823,user_20200422163431232329,esl_20200604115458937823
synonyms_jax_gene_2737,2020-06-04-11-54-58-937866,user_20200422163431232329,esl_20200604115458937866
synonyms_jax_gene_10818,2020-06-04-11-54-58-937902,user_20200422163431232329,esl_20200604115458937902
synonyms_jax_gene_8087,2020-06-04-11-54-58-937931,user_20200422163431232329,esl_20200604115458937931
synonyms_jax_gene_3576,2020-06-04-11-54-58-937955,user_20200422163431232329,esl_20200604115458937955
synonyms_jax_gene_6774,2020-06-04-11-54-58-937988,user_20200422163431232329,esl_20200604115458937988
synonyms_jax_gene_8438,2020-06-04-11-54-58-938015,user_20200422163431232329,esl_20200604115458938015
synonyms_jax_gene_943,2020-06-04-11-54-58-938042,user_20200422163431232329,esl_20200604115458938042
synonyms_jax_gene_5573,2020-06-04-11-54-58-938068,user_20200422163431232329,esl_20200604115458938068
synonyms_jax_gene_26052,2020-06-04-11-54-58-938101,user_20200422163431232329,esl_20200604115458938101
synonyms_jax_gene_1834,2020-06-04-11-54-58-938124,user_20200422163431232329,esl_20200604115458938124
synonyms_jax_gene_3624,2020-06-04-11-54-58-938151,user_20200422163431232329,esl_20200604115458938151
synonyms_jax_gene_2736,2020-06-04-11-54-58-938175,user_20200422163431232329,esl_20200604115458938175
synonyms_jax_gene_5820,2020-06-04-11-54-58-938203,user_20200422163431232329,esl_20200604115458938203
synonyms_jax_gene_2259,2020-06-04-11-54-58-938230,user_20200422163431232329,esl_20200604115458938230
synonyms_jax_gene_81559,2020-06-04-11-54-58-938257,user_20200422163431232329,esl_20200604115458938257
synonyms_jax_gene_55252,2020-06-04-11-54-58-938282,user_20200422163431232329,esl_20200604115458938282
synonyms_jax_gene_6867,2020-06-04-11-54-58-938307,user_20200422163431232329,esl_20200604115458938307
synonyms_jax_gene_29935,2020-06-04-11-54-58-938331,user_20200422163431232329,esl_20200604115458938331
synonyms_jax_gene_23657,2020-06-04-11-54-58-938355,user_20200422163431232329,esl_20200604115458938355
synonyms_jax_gene_729230,2020-06-04-11-54-58-938402,user_20200422163431232329,esl_20200604115458938402
synonyms_jax_gene_54855,2020-06-04-11-54-58-938439,user_20200422163431232329,esl_20200604115458938439
synonyms_jax_gene_5932,2020-06-04-11-54-58-938463,user_20200422163431232329,esl_20200604115458938463
synonyms_jax_gene_139285,2020-06-04-11-54-58-938492,user_20200422163431232329,esl_20200604115458938492
synonyms_jax_gene_6871,2020-06-04-11-54-58-938518,user_20200422163431232329,esl_20200604115458938518
synonyms_jax_gene_79444,2020-06-04-11-54-58-938547,user_20200422163431232329,esl_20200604115458938547
synonyms_jax_gene_6934,2020-06-04-11-54-58-938575,user_20200422163431232329,esl_20200604115458938575
synonyms_jax_gene_147199,2020-06-04-11-54-58-938624,user_20200422163431232329,esl_20200604115458938624
synonyms_jax_gene_1588,2020-06-04-11-54-58-938649,user_20200422163431232329,esl_20200604115458938649
synonyms_jax_gene_2074,2020-06-04-11-54-58-938679,user_20200422163431232329,esl_20200604115458938679
synonyms_jax_gene_23092,2020-06-04-11-54-58-938711,user_20200422163431232329,esl_20200604115458938711
synonyms_jax_gene_8496,2020-06-04-11-54-58-938737,user_20200422163431232329,esl_20200604115458938737
synonyms_jax_gene_23354,2020-06-04-11-54-58-938764,user_20200422163431232329,esl_20200604115458938764
synonyms_jax_gene_1822,2020-06-04-11-54-58-938789,user_20200422163431232329,esl_20200604115458938789
synonyms_jax_gene_8880,2020-06-04-11-54-58-938817,user_20200422163431232329,esl_20200604115458938817
synonyms_jax_gene_5924,2020-06-04-11-54-58-938843,user_20200422163431232329,esl_20200604115458938843
synonyms_jax_gene_4773,2020-06-04-11-54-58-938870,user_20200422163431232329,esl_20200604115458938870
synonyms_jax_gene_27086,2020-06-04-11-54-58-938895,user_20200422163431232329,esl_20200604115458938895
synonyms_jax_gene_4323,2020-06-04-11-54-58-938923,user_20200422163431232329,esl_20200604115458938923
synonyms_jax_gene_23303,2020-06-04-11-54-58-938954,user_20200422163431232329,esl_20200604115458938954
synonyms_jax_gene_84464,2020-06-04-11-54-58-938978,user_20200422163431232329,esl_20200604115458938978
synonyms_jax_gene_8838,2020-06-04-11-54-58-939003,user_20200422163431232329,esl_20200604115458939003
synonyms_jax_gene_56829,2020-06-04-11-54-58-939030,user_20200422163431232329,esl_20200604115458939030
synonyms_jax_gene_10930,2020-06-04-11-54-58-939059,user_20200422163431232329,esl_20200604115458939059
synonyms_jax_gene_126961,2020-06-04-11-54-58-939083,user_20200422163431232329,esl_20200604115458939083
synonyms_jax_gene_29974,2020-06-04-11-54-58-939113,user_20200422163431232329,esl_20200604115458939113
synonyms_jax_gene_2189,2020-06-04-11-54-58-939141,user_20200422163431232329,esl_20200604115458939141
synonyms_jax_gene_9950,2020-06-04-11-54-58-939165,user_20200422163431232329,esl_20200604115458939165
synonyms_jax_gene_84126,2020-06-04-11-54-58-939190,user_20200422163431232329,esl_20200604115458939190
synonyms_jax_gene_8357,2020-06-04-11-54-58-939212,user_20200422163431232329,esl_20200604115458939212
synonyms_jax_gene_57804,2020-06-04-11-54-58-939248,user_20200422163431232329,esl_20200604115458939248
synonyms_jax_gene_65975,2020-06-04-11-54-58-939272,user_20200422163431232329,esl_20200604115458939272
synonyms_jax_gene_399687,2020-06-04-11-54-58-939294,user_20200422163431232329,esl_20200604115458939294
synonyms_jax_gene_8356,2020-06-04-11-54-58-939321,user_20200422163431232329,esl_20200604115458939321
synonyms_jax_gene_811,2020-06-04-11-54-58-939393,user_20200422163431232329,esl_20200604115458939393
synonyms_jax_gene_9681,2020-06-04-11-54-58-939423,user_20200422163431232329,esl_20200604115458939423
synonyms_jax_gene_84433,2020-06-04-11-54-58-939449,user_20200422163431232329,esl_20200604115458939449
synonyms_jax_gene_3326,2020-06-04-11-54-58-939478,user_20200422163431232329,esl_20200604115458939478
synonyms_jax_gene_3799,2020-06-04-11-54-58-939506,user_20200422163431232329,esl_20200604115458939506
synonyms_jax_gene_2022,2020-06-04-11-54-58-939534,user_20200422163431232329,esl_20200604115458939534
synonyms_jax_gene_5071,2020-06-04-11-54-58-939560,user_20200422163431232329,esl_20200604115458939560
synonyms_jax_gene_8643,2020-06-04-11-54-58-939586,user_20200422163431232329,esl_20200604115458939586
synonyms_jax_gene_10527,2020-06-04-11-54-58-939610,user_20200422163431232329,esl_20200604115458939610
synonyms_jax_gene_684,2020-06-04-11-54-58-939635,user_20200422163431232329,esl_20200604115458939635
synonyms_jax_gene_57805,2020-06-04-11-54-58-939659,user_20200422163431232329,esl_20200604115458939659
synonyms_jax_gene_2188,2020-06-04-11-54-58-939688,user_20200422163431232329,esl_20200604115458939688
synonyms_jax_gene_5925,2020-06-04-11-54-58-939711,user_20200422163431232329,esl_20200604115458939711
synonyms_jax_gene_64324,2020-06-04-11-54-58-939741,user_20200422163431232329,esl_20200604115458939741
synonyms_jax_gene_5163,2020-06-04-11-54-58-939769,user_20200422163431232329,esl_20200604115458939769
synonyms_jax_gene_4772,2020-06-04-11-54-58-939808,user_20200422163431232329,esl_20200604115458939808
synonyms_jax_gene_2130,2020-06-04-11-54-58-939839,user_20200422163431232329,esl_20200604115458939839
synonyms_jax_gene_23210,2020-06-04-11-54-58-939866,user_20200422163431232329,esl_20200604115458939866
synonyms_jax_gene_121227,2020-06-04-11-54-58-939892,user_20200422163431232329,esl_20200604115458939892
synonyms_jax_gene_8454,2020-06-04-11-54-58-939915,user_20200422163431232329,esl_20200604115458939915
synonyms_jax_gene_23139,2020-06-04-11-54-58-939938,user_20200422163431232329,esl_20200604115458939938
synonyms_jax_gene_51343,2020-06-04-11-54-58-939963,user_20200422163431232329,esl_20200604115458939963
synonyms_jax_gene_8028,2020-06-04-11-54-58-939993,user_20200422163431232329,esl_20200604115458939993
synonyms_jax_gene_329,2020-06-04-11-54-58-940017,user_20200422163431232329,esl_20200604115458940017
synonyms_jax_gene_55750,2020-06-04-11-54-58-940047,user_20200422163431232329,esl_20200604115458940047
synonyms_jax_gene_9156,2020-06-04-11-54-58-940074,user_20200422163431232329,esl_20200604115458940074
synonyms_jax_gene_56243,2020-06-04-11-54-58-940098,user_20200422163431232329,esl_20200604115458940098
synonyms_jax_gene_81671,2020-06-04-11-54-58-940123,user_20200422163431232329,esl_20200604115458940123
synonyms_jax_gene_5460,2020-06-04-11-54-58-940149,user_20200422163431232329,esl_20200604115458940149
synonyms_jax_gene_6759,2020-06-04-11-54-58-940178,user_20200422163431232329,esl_20200604115458940178
synonyms_jax_gene_8878,2020-06-04-11-54-58-940204,user_20200422163431232329,esl_20200604115458940204
synonyms_jax_gene_9910,2020-06-04-11-54-58-940237,user_20200422163431232329,esl_20200604115458940237
synonyms_jax_gene_57147,2020-06-04-11-54-58-940262,user_20200422163431232329,esl_20200604115458940262
synonyms_jax_gene_7518,2020-06-04-11-54-58-940287,user_20200422163431232329,esl_20200604115458940287
synonyms_jax_gene_65061,2020-06-04-11-54-58-940310,user_20200422163431232329,esl_20200604115458940310
synonyms_jax_gene_6427,2020-06-04-11-54-58-940336,user_20200422163431232329,esl_20200604115458940336
synonyms_jax_gene_8481,2020-06-04-11-54-58-940364,user_20200422163431232329,esl_20200604115458940364
synonyms_jax_gene_23085,2020-06-04-11-54-58-940392,user_20200422163431232329,esl_20200604115458940392
synonyms_jax_gene_6098,2020-06-04-11-54-58-940418,user_20200422163431232329,esl_20200604115458940418
synonyms_jax_gene_388595,2020-06-04-11-54-58-940444,user_20200422163431232329,esl_20200604115458940444
synonyms_jax_gene_780,2020-06-04-11-54-58-940467,user_20200422163431232329,esl_20200604115458940467
synonyms_jax_gene_1024,2020-06-04-11-54-58-940502,user_20200422163431232329,esl_20200604115458940502
synonyms_jax_gene_104,2020-06-04-11-54-58-940526,user_20200422163431232329,esl_20200604115458940526
synonyms_jax_gene_9947,2020-06-04-11-54-58-940574,user_20200422163431232329,esl_20200604115458940574
synonyms_jax_gene_55654,2020-06-04-11-54-58-940603,user_20200422163431232329,esl_20200604115458940603
synonyms_jax_gene_64109,2020-06-04-11-54-58-940626,user_20200422163431232329,esl_20200604115458940626
synonyms_jax_gene_3598,2020-06-04-11-54-58-940653,user_20200422163431232329,esl_20200604115458940653
synonyms_jax_gene_2521,2020-06-04-11-54-58-940680,user_20200422163431232329,esl_20200604115458940680
synonyms_jax_gene_2034,2020-06-04-11-54-58-940714,user_20200422163431232329,esl_20200604115458940714
synonyms_jax_gene_7373,2020-06-04-11-54-58-940743,user_20200422163431232329,esl_20200604115458940743
synonyms_jax_gene_7471,2020-06-04-11-54-58-940767,user_20200422163431232329,esl_20200604115458940767
synonyms_jax_gene_387119,2020-06-04-11-54-58-940853,user_20200422163431232329,esl_20200604115458940853
synonyms_jax_gene_3275,2020-06-04-11-54-58-940884,user_20200422163431232329,esl_20200604115458940884
