name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
NAB2,NAB2,es_20200527112721615000,es_20200422174037618727,es_20200422174037618744,geneInfo_gene_4665,jax_gene_4665,uniprot_Q15742,omnigene_4665
NKX2-1,NKX2-1,es_20200507085434461000,es_20200422174100477980,es_20200422174100477999,geneInfo_gene_7080,jax_gene_7080,uniprot_P43699,omnigene_7080
NBN,NBN,es_20200527131819356000,es_20200422174040123198,es_20200422174040123214,geneInfo_gene_4683,jax_gene_4683,uniprot_O60934,omnigene_4683
PNRC1,PNRC1,es_20200529143603650000,es_20200422174335324532,es_20200422174335324555,geneInfo_gene_10957,jax_gene_10957,uniprot_Q12796,omnigene_10957
PREX2,PREX2,es_20200601131303186000,es_20200422174409895513,es_20200422174409895529,geneInfo_gene_80243,jax_gene_80243,uniprot_Q70Z35,omnigene_80243
NEGR1,NEGR1,es_20200527145321198000,es_20200422174046039532,es_20200422174046039548,geneInfo_gene_257194,jax_gene_257194,uniprot_Q7Z3B1,omnigene_257194
NKX2-8,NKX2-8,es_20200422174101891767,es_20200422174101891785,es_20200422174101891801,geneInfo_gene_26257,,uniprot_O15522,omnigene_26257
NFKBIA,NFKBIA,es_2020052715081327000,es_20200422174058096807,es_20200422174058096824,geneInfo_gene_4792,jax_gene_4792,uniprot_P25963,omnigene_4792
NF2,NF2,es_20200501115313670000,es_20200422174050668597,es_20200422174050668613,geneInfo_gene_4771,jax_gene_4771,uniprot_P35240,omnigene_4771
NOTCH1,NOTCH1,es_20200501105458132000,es_20200501105430129000,es_20200422174107695913,geneInfo_gene_4851,jax_gene_4851,uniprot_P46531,omnigene_4851
NFE2L2,NFE2L2,es_20200501155957765000,es_20200422174055419980,es_20200422174055419998,geneInfo_gene_4780,jax_gene_4780,uniprot_Q16236,omnigene_4780
NKX3-1,NKX3-1,es_20200527151626372000,es_20200422174104461516,es_20200422174104461533,geneInfo_gene_4824,jax_gene_4824,uniprot_Q99801,omnigene_4824
NPM1,NPM1,es_20200527161301123000,es_20200422174120727515,es_20200422174120727533,geneInfo_gene_4869,jax_gene_4869,uniprot_P06748,omnigene_4869
NOTCH2,NOTCH2,es_20200527152823650000,es_20200422174111940549,es_20200422174111940567,geneInfo_gene_4853,jax_gene_4853,uniprot_Q04721,omnigene_4853
PDCD1,PDCD1,es_20200423071845297058,es_20200422174236411006,es_20200422174236411031,geneInfo_gene_5133,jax_gene_5133,uniprot_Q15116,omnigene_5133
NOTCH3,NOTCH3,es_20200527155353570000,es_20200422174115198871,es_20200422174115198888,geneInfo_gene_4854,jax_gene_4854,uniprot_Q9UM47,omnigene_4854
NOTCH4,NOTCH4,es_20200527160837311000,es_20200422174117027464,es_20200422174117027480,geneInfo_gene_4855,jax_gene_4855,uniprot_Q99466,omnigene_4855
NTRK3,NTRK3,es_20200508143415961000,es_20200422174137665517,es_20200422174137665534,geneInfo_gene_4916,jax_gene_4916,uniprot_Q16288,omnigene_4916
PAK3,PAK3,es_20200528104337389000,es_20200422174148069952,es_20200422174148069968,geneInfo_gene_5063,jax_gene_5063,uniprot_O75914,omnigene_5063
NSD1,NSD1,es_20200528092647983000,es_20200422174128436400,es_20200422174128436416,geneInfo_gene_64324,jax_gene_64324,uniprot_Q96L73,omnigene_64324
NRAS,NRAS,es_20200504140052543000,es_20200422174123759444,es_20200422174123759461,geneInfo_gene_4893,jax_gene_4893,uniprot_P01111,omnigene_4893
NRG1,NRG1,es_20200528090357259000,es_20200422174126716967,es_20200422174126716985,geneInfo_gene_3084,jax_gene_3084,uniprot_Q02297,omnigene_3084
NUTM1,NUTM1,es_20200528101810392000,es_20200422174142754877,es_20200422174142754893,geneInfo_gene_256646,jax_gene_256646,uniprot_Q86Y26,omnigene_256646
NTRK1,NTRK1,es_20200508144203587000,es_20200422174132775919,es_20200422174132775937,geneInfo_gene_4914,jax_gene_4914,uniprot_P04629,omnigene_4914
NTRK2,NTRK2,es_20200528093748754000,es_20200422174135828468,es_20200422174135828486,geneInfo_gene_4915,jax_gene_4915,uniprot_Q16620,omnigene_4915
