id,name,JaxGene_graph_id
,RABIP4R,jax_gene_55680
,ZFYVE13,jax_gene_55680
,2810028N01Rik,jax_gene_22894
,dis3p,jax_gene_22894
,EXOSC11,jax_gene_22894
,KIAA1008,jax_gene_22894
,RRP44,jax_gene_22894
,JKAP,jax_gene_56940
,JSP-1,jax_gene_56940
,JSP1,jax_gene_56940
,LMW-DSP2,jax_gene_56940
,LMWDSP2,jax_gene_56940
,MKP-x,jax_gene_56940
,MKPX,jax_gene_56940
,VHX,jax_gene_56940
,ICF,jax_gene_1789
,ICF1,jax_gene_1789
,M.HsaIIIB,jax_gene_1789
,CMC1,jax_gene_2776
,G-ALPHA-q,jax_gene_2776
,GAQ,jax_gene_2776
,SWS,jax_gene_2776
,SPR2,jax_gene_6670
,HSPC193,jax_gene_4088
,HsT17436,jax_gene_4088
,JV15-2,jax_gene_4088
,LDS1C,jax_gene_4088
,LDS3,jax_gene_4088
,MADH3,jax_gene_4088
,DYRK,jax_gene_1859
,DYRK1,jax_gene_1859
,HP86,jax_gene_1859
,MNB,jax_gene_1859
,MNBH,jax_gene_1859
,MRD7,jax_gene_1859
,CVID13,jax_gene_10320
,Hs.54452,jax_gene_10320
,IK1,jax_gene_10320
,IKAROS,jax_gene_10320
,LyF-1,jax_gene_10320
,LYF1,jax_gene_10320
,PPP1R92,jax_gene_10320
,PRO0758,jax_gene_10320
,ZNFN1A1,jax_gene_10320
,DIF,jax_gene_7124
,TNF-alpha,jax_gene_7124
,TNFA,jax_gene_7124
,TNFSF2,jax_gene_7124
,TNLG1F,jax_gene_7124
,DUP,jax_gene_4437
,FAP4,jax_gene_4437
,MRP1,jax_gene_4437
,Bcl-2,jax_gene_596
,PPP1R50,jax_gene_596
,HDR,jax_gene_2625
,HDRS,jax_gene_2625
,JTK8,jax_gene_4067
,p53Lyn,jax_gene_4067
,p56Lyn,jax_gene_4067
,CACNL1A3,jax_gene_779
,Cav1.1,jax_gene_779
,CCHL1A3,jax_gene_779
,HOKPP,jax_gene_779
,HOKPP1,jax_gene_779
,hypoPP,jax_gene_779
,MHS5,jax_gene_779
,TTPP1,jax_gene_779
,dJ283E3.1,jax_gene_65220
,ARC130,jax_gene_9439
,CRSP130,jax_gene_9439
,CRSP133,jax_gene_9439
,CRSP3,jax_gene_9439
,DRIP130,jax_gene_9439
,MRT18,jax_gene_9439
,SUR-2,jax_gene_9439
,SUR2,jax_gene_9439
,FAM22A,jax_gene_728118
,C17orf31,jax_gene_23293
,EST1A,jax_gene_23293
,hSMG5/7a,jax_gene_23293
